stn,wban,year,mo,da,temp,count_temp,dewp,count_dewp,slp,count_slp,stp,count_stp,visib,count_visib,wdsp,count_wdsp,mxpsd,gust,max,flag_max,min,flag_min,prcp,flag_prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
999999,12839,1948,02,14,78.1,24,67.1,24,1018.5,24,1018.1,24,11.2,24,11.3,24,19.0,999.9,88.0,*,72.0,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,02,15,69.0,24,63.8,24,1024.6,24,1024.3,24,8.3,24,12.1,24,24.1,999.9,75.0,*,64.9,*,99.99,,999.9,1,1,0,0,0,0
999999,12839,1948,02,16,74.3,24,67.1,24,1025.7,23,1025.4,24,8.9,24,11.0,24,17.1,999.9,80.1,*,70.0,*,99.99,,999.9,0,1,0,0,0,0
999999,12839,1948,02,17,74.0,24,67.0,24,1022.2,24,1021.9,24,9.8,24,5.6,24,14.0,999.9,84.0,*,66.9,*,0.0,I,999.9,1,0,0,0,0,0
999999,12839,1948,02,18,70.3,24,63.3,24,1020.4,24,1020.0,24,9.2,24,8.1,24,15.9,999.9,78.1,*,64.0,*,99.99,,999.9,0,1,0,0,0,0
999999,12839,1948,02,19,68.9,24,58.5,24,1019.5,24,1019.2,24,9.9,24,6.2,24,10.1,999.9,77.0,*,61.0,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,02,20,67.9,24,57.7,24,1019.1,24,1018.7,24,9.3,24,3.5,24,8.9,999.9,80.1,*,57.9,*,0.0,I,999.9,1,0,0,0,0,0
999999,12839,1948,02,21,68.5,24,60.0,24,1018.3,24,1017.9,24,9.7,24,5.6,24,12.0,999.9,78.1,*,60.1,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,02,22,68.0,24,60.3,24,1016.7,24,1016.3,24,9.5,24,5.8,24,13.0,999.9,79.0,*,57.9,*,0.0,I,999.9,1,0,0,0,0,0
999999,12839,1948,02,23,70.8,24,62.4,24,1018.7,24,1018.3,24,10.1,24,4.2,24,10.1,999.9,82.0,*,60.1,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,02,24,71.6,24,65.5,24,1023.3,24,1022.9,24,10.0,24,10.4,24,17.1,999.9,79.0,*,64.0,*,99.99,,999.9,0,1,0,0,0,0
999999,12839,1948,02,25,72.4,24,64.9,24,1025.0,24,1024.6,24,9.9,24,13.3,24,21.0,999.9,75.9,*,66.9,*,99.99,,999.9,0,1,0,0,0,0
999999,12839,1948,02,26,70.7,24,60.0,24,1022.2,24,1021.8,24,9.9,24,6.7,24,13.0,999.9,78.1,*,61.0,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,02,27,69.1,24,61.3,24,1019.9,23,1019.5,24,10.4,24,5.8,24,15.9,999.9,78.1,*,59.0,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,02,28,73.5,24,63.9,24,1018.5,24,1018.1,24,10.9,24,8.1,24,15.9,999.9,82.0,*,64.0,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,02,29,73.4,24,64.5,24,1018.6,24,1018.2,24,10.5,24,4.9,24,12.0,999.9,84.0,*,63.0,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,03,01,73.9,24,65.6,24,1018.4,24,1018.0,24,10.9,24,6.0,24,15.0,999.9,82.0,*,66.0,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,03,02,76.8,24,66.4,24,1017.3,24,1016.9,24,10.5,24,15.1,24,24.1,999.9,81.0,*,73.0,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,03,03,77.9,24,69.1,24,1016.8,24,1016.5,23,10.6,24,11.8,24,21.0,999.9,84.0,*,73.9,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,03,04,77.2,24,69.9,24,1017.9,24,1017.4,23,10.1,24,7.4,24,15.9,999.9,84.0,*,70.0,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,03,05,74.9,24,69.0,24,1020.0,24,1019.6,24,9.4,24,9.8,24,24.1,999.9,82.0,*,69.1,*,99.99,,999.9,0,1,0,0,0,0
999999,12839,1948,03,06,73.3,24,64.1,24,1022.0,24,1021.7,24,7.9,24,20.0,24,28.9,999.9,79.0,*,66.9,*,99.99,,999.9,0,1,0,0,0,0
999999,12839,1948,03,07,75.6,24,65.3,24,1019.1,24,1018.7,24,10.1,24,19.6,24,25.1,999.9,81.0,*,73.0,*,99.99,,999.9,0,1,0,0,0,0
999999,12839,1948,03,08,74.9,24,69.1,24,1016.9,24,1016.5,24,10.0,24,7.6,24,15.9,999.9,82.9,*,70.0,*,99.99,,999.9,0,1,0,0,0,0
999999,12839,1948,03,09,76.2,24,68.3,24,1015.3,24,1014.9,24,9.9,24,11.2,24,24.1,999.9,84.9,*,70.0,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,03,10,79.3,24,70.5,24,1014.5,24,1014.1,24,10.8,24,10.1,24,17.1,999.9,88.0,*,73.9,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,03,11,79.9,24,71.3,24,1016.9,24,1016.5,24,11.0,24,10.5,24,21.0,999.9,86.0,*,75.9,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,03,12,76.7,24,68.8,24,1019.6,24,1019.2,24,11.0,24,6.1,24,17.1,999.9,84.9,*,66.0,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,03,13,74.2,24,64.9,24,1019.9,24,1019.5,24,9.6,24,9.0,24,14.0,999.9,80.1,*,68.0,*,99.99,,999.9,0,1,0,0,0,0
999999,12839,1948,03,14,70.7,24,56.3,24,1022.3,24,1022.0,24,9.4,24,13.3,24,22.0,999.9,75.9,*,64.9,*,99.99,,999.9,0,1,0,0,0,0
999999,12839,1948,03,15,74.0,24,55.6,24,1022.1,24,1021.7,24,9.9,24,17.0,24,22.9,999.9,79.0,*,71.1,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,03,16,76.0,24,63.3,24,1020.6,24,1020.3,24,10.4,24,18.3,24,24.1,999.9,82.0,*,73.0,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,03,17,77.2,24,67.7,24,1020.7,24,1020.3,24,10.9,24,13.6,24,19.0,999.9,82.9,*,73.0,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,03,18,75.6,24,66.9,24,1020.4,24,1020.0,24,10.4,24,6.6,24,14.0,999.9,82.9,*,68.0,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,03,19,76.4,24,64.2,24,1020.7,24,1020.3,24,10.9,24,12.1,24,17.1,999.9,82.0,*,73.0,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,03,20,76.7,24,64.1,24,1022.1,24,1021.7,24,11.1,24,13.2,24,19.0,999.9,82.0,*,72.0,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,03,21,77.4,24,66.3,24,1021.2,24,1020.9,24,11.1,24,13.7,24,21.0,999.9,82.9,*,73.0,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,03,22,77.8,24,66.6,24,1018.5,24,1018.1,24,10.8,24,12.4,24,17.1,999.9,84.0,*,73.0,*,99.99,,999.9,0,1,0,0,0,0
999999,12839,1948,03,23,78.1,24,67.5,24,1017.5,24,1017.1,24,9.9,24,11.8,24,22.0,999.9,84.0,*,73.9,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,03,24,78.0,24,69.7,24,1016.4,24,1016.0,24,10.2,24,7.8,24,12.0,999.9,87.1,*,71.1,*,99.99,,999.9,0,1,0,0,0,0
999999,12839,1948,03,25,76.1,24,61.6,24,1016.9,24,1016.5,24,10.8,24,6.2,24,10.1,999.9,89.1,*,64.0,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,03,26,77.0,24,66.0,24,1017.1,24,1016.7,24,11.4,24,8.5,24,15.9,999.9,84.9,*,69.1,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,03,27,77.5,24,65.8,24,1014.7,24,1014.3,24,11.8,24,10.9,24,22.9,999.9,84.9,*,66.9,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,03,28,77.6,24,67.6,24,1011.9,24,1011.5,23,10.9,24,10.1,24,21.0,999.9,88.0,*,71.1,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,03,29,67.3,24,56.1,24,1014.3,24,1013.8,24,9.7,24,8.8,24,14.0,999.9,77.0,*,57.9,*,99.99,,999.9,0,1,0,0,0,0
999999,12839,1948,03,30,68.9,24,58.9,24,1015.9,24,1015.6,24,9.9,24,9.9,24,21.0,999.9,79.0,*,57.0,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,03,31,76.4,24,67.2,24,1012.7,24,1012.3,24,9.9,24,15.2,24,26.0,999.9,82.0,*,72.0,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,04,01,80.0,24,73.0,24,1011.5,24,1011.0,24,9.5,24,16.3,24,24.1,999.9,84.9,*,75.9,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,04,02,80.9,24,72.3,24,1014.8,24,1014.4,24,9.5,24,12.8,24,18.1,999.9,90.0,*,73.9,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,04,03,76.9,24,71.1,24,1018.9,24,1018.5,24,9.4,24,6.3,24,17.1,999.9,84.9,*,73.0,*,99.99,,999.9,0,1,0,0,1,0
999999,12839,1948,04,04,74.0,24,69.1,24,1021.2,24,1020.7,24,8.1,24,14.8,24,20.0,999.9,77.0,*,71.1,*,99.99,,999.9,0,1,0,0,1,0
999999,12839,1948,04,05,74.9,24,66.1,24,1021.7,24,1021.3,24,9.3,24,15.4,24,21.0,999.9,78.1,*,72.0,*,99.99,,999.9,0,1,0,0,0,0
999999,12839,1948,04,06,76.2,24,64.0,24,1021.4,24,1021.0,24,10.0,24,12.5,24,15.9,999.9,82.9,*,72.0,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,04,07,76.8,24,64.2,24,1020.8,24,1020.4,24,10.1,24,10.4,24,15.0,999.9,84.0,*,69.1,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,04,08,75.3,24,64.6,24,1021.6,24,1021.2,24,10.3,24,8.3,24,15.0,999.9,82.9,*,66.0,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,04,09,75.6,24,64.5,24,1021.6,24,1021.2,24,9.9,24,6.5,24,12.0,999.9,84.0,*,64.9,*,0.0,I,999.9,0,0,0,0,0,0
